"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","vgpr","sgpr","fbar","sig","obj","GPUBusy","VALUBusy","SALUBusy","MemUnitBusy","SFetchInsts","FetchSize","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
534,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE11restrict_toERNS_11DeviceArrayIdEERNS_8BoundaryIdEERNS_8SettingsERNS_11RestrictionIdEE_l230.kd",0,3,67,8368,8378,4352,256,2048,0,32,96,89280,"0x14b99bdd6f00","0x14b898045f00",100,0.3578555455,0.1612339659,2.14623548,6,139.6875,1026433084754671,1026433084768882,1026433085336245,1026433085340797,567363
535,"__omp_offloading_43b2fce4_e8007dbb__ZN7Poisson11DeviceArrayIdE9init_zeroEv_l122.kd",0,2,67,8368,8374,4352,256,2048,0,16,40,66176,"0x14b99bdd7080","0x14b898045e40",100,0.2077217828,0.2043232423,1.398303344,3,2.375,1026433084587147,1026433084601361,1026433085925368,1026433085926882,1324007
536,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE11restrict_toERNS_11DeviceArrayIdEERNS_8BoundaryIdEERNS_8SettingsERNS_11RestrictionIdEE_l230.kd",0,1,68,8368,8376,4352,256,2048,0,32,96,89280,"0x14b99bdd7180","0x14b898045f00",100,0.4455190714,0.2007312941,2.1752133344,7,240.0625,1026433084944739,1026433084782962,1026433086219930,1026433086785003,1436968
537,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",0,3,68,8368,8375,16896,256,2048,0,32,80,80896,"0x14b99bdd7200","0x14b898045ec0",100,1.8061362545,0.8937284511,7.343574972,7,240.0625,1026433085315648,1026433085336245,1026433086157690,1026433086521042,821445
538,"__omp_offloading_43b2fce4_e8007dbb__ZN7Poisson11DeviceArrayIdE9init_zeroEv_l122.kd",1,4,66,8368,8368,4352,256,2048,0,16,40,66176,"0x14b99bdd7000","0x14b893f45e40",100,0.23857524,0.2346719054,1.4337784279,3,3.375,1026433084950050,1026433081877525,1026433086096910,1026433086364740,4219385
539,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE11restrict_toERNS_11DeviceArrayIdEERNS_8BoundaryIdEERNS_8SettingsERNS_11RestrictionIdEE_l230.kd",0,0,68,8368,8372,4352,256,2048,0,32,96,89280,"0x14b99bdd7100","0x14b898045f00",100,0.4812788154,0.2168430616,2.6847251737,3,1.75,1026433085416052,1026433085428725,1026433086382331,1026433086516904,953606
540,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",1,5,66,8368,8378,16896,256,2048,0,32,80,80896,"0x14b99bdd6f00","0x14b893f45ec0",100,2.1554016986,1.0665550934,6.4147123978,2.2795454545,8.6875,1026433085358872,1026433083191772,1026433086345071,1026433086649742,3153299
541,"__omp_offloading_43b2fce4_e8007dbb__ZN7Poisson11DeviceArrayIdE9init_zeroEv_l122.kd",0,2,68,8368,8377,4352,256,2048,0,16,40,66176,"0x14b99bdd7700","0x14b898045e40",100,0.2279797843,0.2242498022,0.3854997971,3,1.75,1026433085919097,1026433085925368,1026433086485212,1026433086782298,559844
542,"__omp_offloading_43b2fce4_e8007dbb__ZN7Poisson11DeviceArrayIdE9init_zeroEv_l122.kd",1,6,66,8368,8374,112640,256,2048,0,16,40,66176,"0x14b99bdd7080","0x14b893f45e40",100,7.3051333441,5.7526071796,4.299662172,3,8.6875,1026433085937312,1026433084015617,1026433086474672,1026433086519299,2459055
543,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",0,0,69,8368,8373,16896,256,2048,0,32,80,80896,"0x14b99bdd6f80","0x14b898045ec0",100,1.5701053718,0.7769335444,4.5514300818,7,271.5625,1026433086366854,1026433086382331,1026433086771453,1026433087042743,389122
544,"__omp_offloading_43b2fce4_4401ca68__ZN7Poisson9InjectionIdE11restrict_toERNS_11DeviceArrayIdEES4__l47.kd",1,5,67,8368,8372,4352,256,2048,0,28,64,12928,"0x14b99bdd7080","0x14b893f45c40",100,0.4364257226,0.2508081333,2.5536337317,6,71.875,1026433086542203,1026433086345071,1026433087883480,1026433087885114,1538409
545,"__omp_offloading_43b2fce4_e8007dbb__ZN7Poisson11DeviceArrayIdE9init_zeroEv_l122.kd",1,7,66,8368,8368,4352,256,2048,0,16,40,66176,"0x14b99bdd7000","0x14b893f45e40",100,0.2458125249,0.2417907809,7.6409820126,6,138.4375,1026433086381081,1026433084710661,1026433088248443,1026433088264248,3537782
546,"__omp_offloading_43b2fce4_f60002d9__ZN7Poisson8residualIdEEvRNS_6DomainIT_EEb_l58.kd",0,1,69,8368,8375,112640,256,2048,0,40,72,110656,"0x14b99bdd6f80","0x14b898045f80",100,33.407919807,6.0540217223,74.8292942756,4,43812.0625,1026433087065857,1026433086219930,1026433088196262,1026433088267745,1976332
547,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",1,6,67,8368,8378,16896,256,2048,0,32,80,80896,"0x14b99bdd7200","0x14b893f45ec0",100,2.1274495692,1.0527235714,7.4841664782,6,47.25,1026433086675151,1026433086474672,1026433088104922,1026433088257555,1630250
548,"__omp_offloading_43b2fce4_4401ca68__ZN7Poisson9InjectionIdE11restrict_toERNS_11DeviceArrayIdEES4__l47.kd",1,4,67,8368,8374,4352,256,2048,0,28,64,12928,"0x14b99bdd7100","0x14b893f45c40",100,0.3858304124,0.2217316728,1.6944216571,6,138.4375,1026433086537504,1026433086096910,1026433088132442,1026433088266011,2035532
549,"__omp_offloading_43b2fce4_f60002d8__ZN7Poisson11OMPBoundaryIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l91.kd",1,5,68,8368,8373,16896,256,2048,0,28,72,63424,"0x14b99bdd7180","0x14b893f45e00",100,1.5706782146,0.9116111246,5.4143142094,6,138.4375,1026433087872439,1026433087883480,1026433088339163,1026433088340596,455683
